,of_the,in_the,there_was,of_course,that_they,with_a,and_the,from_the,he_was,everything_was,but_it,it_was,right_out,me_.,in_a,had_been,he_had,i_'ve,enough_to,an_old,not_be,was_an,of_this,which_he,over_the,were_sailing,it_had,as_it,as_i,he_is,now_.,we_shall,they_would,the_bottom,bottom_of,out_from,if_he,here_were,leaving_the,of_metal,of_steel,they_should,was_of,leaning_over,else_.,'ve_always,such_as,watching_the,would_kill,nerves_of,been_drawn,of_life,course_of,for_three,the_smoke,steel_.,were_scattered,this_paper,the_very,take_you,to_your,a_slow,street_and,nothing_else,away_to,three_hours,were_passing,and_shouting,somewhere_in,to_shake,in_life,down_upon,life_and,above_my,my_station,station_in,upon_my,still_.,a_soft,dressed_in,shall_take,filling_the,kill_me,i_hold,books_.,it_contained,suit_of,the_passage,laid_down,a_suit,my_books,delay_.,should_not,smoke_and,always_been,but_otherwise,it_without,the_box,scattered_over,passage_but,had_laid,box_but,were_enough,you_away,would_naturally,hours_we,becomes_a,the_existence,existence_of,passing_over,the_roots,roots_.,soft_cloth,reminded_of,was_deadly,is_funny,importance_that,despoiled_of,been_insulted,arranging_the,be_suspected,suspected_of,sailing_over,been_hanging,destroy_it,were_leaning,otherwise_they,and_packages,the_strand,forgetful_of,life_as,your_aunt,without_delay,been_transported,been_deposited,'s_at,cap_which,banished_or,or_torn,been_seduced,and_literature,retaining_the,the_ever-changing,been_proud,very_first,was_quietly,kaleidoscope_of,and_disgrace,literature_were,been_banished,uncertain_of,seduced_or,transported_above,a_colder,a_historical,flows_through,be_uncertain,be_reminded,old_historic,contained_nothing,cloth_cap,of_heather,clock_ticking,deposited_above,and_flows,insulted_or,a_double-edged,been_stifled,stifled_or,be_despoiled,drawn_above,a_nicer,fleet_street,aunt_'s,old_clock,strand_.,together_watching,hanging_above,is_violent,the_photograph,discs_of,we_strolled,at_harrow,strolled_about,ebbs_and,it_ebbs,old_mortal,naturally_destroy,funny_we,heather_tweed,harrow_.,quietly_dressed,old_skeleton,about_together,tweed_with,together_leaving,disgrace_would,packages_were,umbrellas_were,deadly_still,be_forgetful,and_umbrellas,first_importance,hold_here,ticking_loudly,been_hacked,is_petty,is_nourishing,soft_juicy,old_university,together_retaining,soft_shimmering,and_small-pox,small-pox_were,tilting_over,soft_humming
it_had,2279,1483,260,57,94,338,755,501,327,9,387,1084,1,71,383,3705,728,10,56,34,59,45,107,135,121,0,9519,648,126,5,18,4,30,18,12,16,71,0,12,4,2,17,23,0,8,0,24,5,1,1,5,36,31,5,3,2,2,1,100,3,2,2,3,7,12,3,0,0,5,1,14,9,32,1,0,0,17,6,8,0,1,1,0,1,2,5,7,17,6,2,0,1,45,4,53,0,10,7,3,0,4,0,0,0,1,0,0,3,3,1,6,3,0,0,0,0,0,0,0,0,1,3,1,1,2,0,0,0,4,0,11,0,1,1,3,0,0,0,1,0,0,0,0,3,11,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as_it,3372,2046,330,76,135,388,1166,573,437,23,149,3303,2,110,532,683,486,38,71,35,118,57,158,150,228,0,648,10903,198,64,36,19,65,40,24,18,129,1,17,1,4,22,42,2,10,2,174,18,2,1,1,56,33,6,12,3,1,0,97,3,26,9,4,11,21,3,3,1,1,9,13,25,42,1,3,0,27,4,8,6,1,1,2,4,1,7,3,9,6,2,0,1,30,1,14,0,13,4,2,1,4,0,0,1,4,0,5,6,5,3,3,2,0,7,0,0,2,1,0,1,1,2,0,0,2,1,0,2,1,0,62,1,3,2,0,1,0,0,2,0,0,1,0,0,5,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
as_i,3945,2791,422,120,206,673,1198,787,508,10,160,1268,2,588,784,645,439,354,121,61,170,73,244,121,261,0,126,198,21124,169,84,47,86,56,42,26,162,3,23,9,5,31,38,1,28,12,319,17,2,0,0,65,37,17,11,1,3,7,144,18,86,4,18,15,19,8,0,3,9,7,22,28,63,7,1,3,195,12,9,12,10,1,4,17,10,6,6,31,13,2,13,3,78,3,19,2,17,17,1,0,9,1,2,0,1,1,3,5,4,0,5,1,0,5,2,0,3,0,0,1,2,2,0,0,1,0,2,0,3,4,60,2,3,0,0,7,0,0,0,0,0,0,0,2,5,0,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
he_is,1965,1370,38,121,62,289,595,292,316,0,81,101,4,130,382,53,149,42,92,62,136,6,123,395,52,0,5,64,169,15559,85,46,15,12,11,5,867,0,3,0,0,4,5,1,17,1,20,2,4,0,2,52,21,2,5,0,0,1,93,11,36,2,2,12,14,5,0,0,3,5,13,5,36,2,0,1,16,4,4,5,1,0,4,7,2,1,4,6,4,3,0,1,32,2,10,2,4,4,0,0,0,0,1,2,0,0,4,0,0,0,5,1,0,5,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,2,1,1,4,0,1,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
now_.,291,247,96,26,19,57,98,56,125,3,110,224,1,0,72,89,130,77,6,11,48,8,26,16,14,0,18,36,84,85,6121,14,17,4,3,0,42,0,2,0,0,4,4,0,0,2,5,1,0,0,0,4,3,2,0,0,1,0,9,7,7,0,2,2,1,2,0,0,0,0,2,1,10,0,0,0,7,0,0,0,1,1,4,2,0,0,0,1,0,0,1,0,9,0,7,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
we_shall,582,384,11,33,22,65,165,78,20,0,16,44,1,12,124,20,20,6,18,3,66,1,63,9,24,0,4,19,47,46,14,4078,2,6,6,1,42,0,0,2,0,5,0,0,3,0,6,0,1,0,0,17,8,1,2,0,0,0,11,7,16,4,0,1,3,3,0,0,0,0,1,2,13,0,0,1,6,0,0,0,32,0,1,1,2,0,0,5,0,0,0,0,2,0,5,0,2,2,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
they_would,1404,936,144,86,1211,151,494,254,217,4,41,435,1,83,289,236,253,13,48,7,137,17,59,51,78,0,30,65,86,15,17,2,6678,12,8,3,119,5,2,0,0,107,10,1,6,1,32,2,28,2,1,17,7,3,1,0,0,0,48,1,5,2,6,2,11,2,1,0,1,0,3,3,14,0,1,0,10,2,0,4,0,2,6,0,3,0,0,2,2,0,0,2,26,2,4,0,0,6,0,0,3,0,1,1,8,0,1,2,4,1,2,2,0,1,0,0,0,1,0,0,1,0,0,0,0,1,20,0,0,0,3,0,1,1,0,0,0,0,0,0,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the_bottom,1931,734,111,17,29,150,308,308,98,2,23,208,1,14,156,111,106,6,10,17,14,13,97,35,65,1,18,40,56,12,4,6,12,2855,1856,10,36,1,7,4,0,1,10,3,0,1,2,2,0,1,1,7,7,4,5,0,0,0,22,3,3,4,3,1,1,3,1,2,3,1,0,10,8,1,0,1,6,4,1,5,0,1,0,0,0,0,0,5,2,1,1,1,3,0,2,0,1,15,0,1,3,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,2,1,3,0,2,0,0,14,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bottom_of,1637,533,76,9,19,102,210,214,74,1,18,140,1,10,112,78,80,4,7,13,11,8,92,27,48,1,12,24,42,11,3,6,8,1856,1946,8,25,1,4,4,0,1,4,2,0,1,1,0,0,1,1,9,6,4,3,0,0,0,62,3,2,3,2,1,1,1,0,1,2,1,0,7,5,0,0,1,6,3,0,4,0,0,0,0,0,0,0,3,1,1,1,0,3,0,0,0,1,10,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,2,1,3,0,1,0,0,11,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
out_from,490,235,53,7,13,80,146,624,54,2,6,92,4,15,76,49,69,4,6,5,2,5,19,18,38,0,16,18,26,5,0,1,3,10,8,1468,18,0,1,1,3,3,1,0,0,0,4,3,1,0,0,6,3,0,0,0,1,1,11,0,2,3,1,0,2,1,0,0,0,0,2,8,2,1,0,0,4,2,1,1,0,0,2,0,0,0,0,3,1,1,0,0,0,1,0,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
if_he,2306,1842,334,139,112,585,747,402,1971,9,92,958,3,178,736,1171,4514,56,137,44,170,56,141,283,161,0,71,129,162,867,42,42,119,36,25,18,16155,0,12,0,0,21,29,2,23,1,22,4,18,0,1,42,27,13,8,0,0,0,99,8,30,13,13,12,18,4,0,2,5,6,22,16,53,0,1,2,17,7,5,3,8,1,23,2,0,2,6,11,11,3,1,5,85,3,8,2,10,12,0,0,10,0,2,1,2,0,5,3,4,1,3,0,0,2,2,0,2,0,0,0,2,6,0,0,0,2,0,0,1,3,12,1,8,1,1,5,0,0,0,0,1,2,0,3,9,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
here_were,77,40,9,1,2,9,29,15,3,0,1,11,0,0,12,12,7,0,2,0,2,1,0,0,3,0,0,1,3,0,0,0,5,1,1,0,0,241,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leaving_the,410,201,25,3,13,41,129,64,85,0,3,62,0,14,71,52,74,2,5,5,4,1,7,22,24,0,12,17,23,3,2,0,2,7,4,1,12,0,1216,0,0,3,3,0,1,0,4,2,0,0,0,5,2,1,1,0,0,0,3,0,1,0,4,1,5,0,0,0,0,1,0,2,3,0,0,0,3,1,1,0,0,0,0,0,1,2,0,4,0,0,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
of_metal,37,16,5,1,3,8,16,8,1,0,1,12,0,1,5,12,2,0,1,1,1,1,1,1,4,0,4,1,9,0,0,2,0,4,4,1,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
of_steel,113,55,16,2,2,28,36,33,12,2,3,21,0,1,22,12,11,1,3,2,1,3,4,6,7,0,2,4,5,0,0,0,0,0,0,3,0,0,0,0,316,0,2,0,0,0,2,1,0,8,0,0,1,0,0,56,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
they_should,652,347,55,13,908,53,212,98,73,1,17,267,0,21,79,88,85,3,26,5,63,7,31,20,22,0,17,22,31,4,4,5,107,1,1,3,21,0,3,0,0,2134,1,0,4,0,14,3,0,0,0,12,7,1,0,0,0,1,10,0,7,1,3,2,2,0,0,0,1,0,1,2,4,0,0,1,1,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,160,0,3,0,2,0,0,0,1,0,1,0,0,0,0,3,2,1,0,0,0,2,0,0,1,0,0,0,2,0,0,0,2,0,1,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
was_of,1168,403,124,267,25,129,313,105,470,4,68,662,0,21,124,132,178,2,21,12,15,12,60,55,22,0,23,42,38,5,4,0,10,10,4,1,29,1,3,0,2,1,2983,0,2,0,7,4,0,1,0,16,11,2,2,1,0,0,38,0,1,2,2,2,3,0,0,0,0,1,2,5,8,0,0,1,3,0,3,8,0,0,0,0,0,5,4,4,0,1,0,2,9,0,0,3,0,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
leaning_over,68,38,3,0,0,14,11,11,15,0,0,8,0,4,20,9,4,0,4,1,0,0,3,2,161,0,0,2,1,1,0,0,1,3,2,0,2,0,0,0,0,0,0,272,0,0,0,4,0,0,0,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
else_.,120,96,48,13,21,21,48,16,68,1,15,92,0,0,29,38,56,21,11,2,15,6,10,5,8,0,8,10,28,17,0,3,6,0,0,0,23,0,1,0,0,4,2,0,1763,1,2,0,0,0,0,2,1,1,0,0,0,0,2,0,4,0,1,233,6,0,0,0,2,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
've_always,17,19,5,8,2,5,5,3,6,0,2,14,1,10,10,0,2,290,0,0,1,2,2,0,1,0,0,2,12,1,2,0,1,1,1,0,1,0,0,0,0,0,0,0,1,370,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
such_as,984,664,104,24,51,176,367,128,117,0,20,351,0,38,221,127,196,6,30,12,44,21,45,54,32,0,24,174,319,20,5,6,32,2,1,4,22,1,4,0,2,14,7,0,2,1,3398,2,0,0,1,23,8,3,0,0,0,0,20,0,13,6,2,2,3,2,0,0,0,3,3,2,17,1,4,0,6,3,9,3,0,0,0,2,2,0,6,0,2,2,1,0,11,0,3,1,3,1,0,0,1,0,2,0,2,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
watching_the,417,219,11,1,12,44,125,49,51,0,6,42,0,6,46,64,38,6,1,3,1,3,12,6,34,0,5,18,17,2,1,0,2,2,0,3,4,0,2,0,1,3,4,4,0,0,2,893,0,0,0,3,8,0,3,1,1,0,4,0,0,0,1,1,1,1,0,0,0,0,0,2,4,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
would_kill,23,19,4,1,10,2,8,3,11,0,2,17,0,15,6,2,9,1,0,1,2,0,1,2,2,0,1,2,2,4,0,1,28,0,0,1,18,0,0,0,0,0,0,0,0,0,0,0,206,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,33,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nerves_of,39,4,1,1,1,5,9,6,0,0,1,8,0,0,5,6,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,2,1,1,0,0,0,0,0,8,0,1,0,0,0,0,0,0,63,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
been_drawn,62,28,4,1,5,5,20,18,8,0,3,17,0,0,10,104,14,0,3,1,1,2,2,5,3,0,5,1,0,2,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,154,1,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
of_life,1512,1080,131,20,80,151,553,305,211,0,45,306,1,31,236,213,244,22,30,22,48,25,75,91,51,0,36,56,65,52,4,17,17,7,9,6,42,2,5,1,0,12,16,0,2,1,23,3,0,0,1,4933,54,3,0,0,0,3,66,1,9,1,5,6,4,3,0,0,2,5,13,3,648,1,0,0,9,2,0,5,0,0,1,1,3,0,4,1,2,1,0,0,12,2,11,0,0,0,1,0,3,0,1,1,2,1,1,1,2,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,90,1,0,0,0,1,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
course_of,1336,1732,43,104,35,76,228,124,126,0,15,177,0,9,145,158,225,6,18,8,21,7,117,76,40,1,31,33,37,21,3,8,7,7,6,3,27,0,2,0,1,7,11,1,1,0,8,8,0,0,0,54,2444,3,0,0,0,0,30,0,1,4,2,3,3,4,0,1,0,2,2,1,13,0,0,0,6,2,1,0,0,3,0,0,0,0,1,2,0,0,0,0,3,1,2,0,2,3,0,1,0,0,0,0,0,1,0,4,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
for_three,196,151,24,6,12,26,60,27,43,0,3,43,1,5,45,83,58,14,4,5,5,2,10,17,15,0,5,6,17,2,2,1,3,4,4,0,13,1,1,0,0,1,2,0,1,0,3,0,0,0,0,3,3,1023,0,0,0,0,2,0,1,2,1,1,1,58,0,0,0,0,1,3,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the_smoke,336,193,21,0,4,28,177,99,23,0,7,40,0,3,51,32,16,0,0,4,4,3,9,7,27,0,3,12,11,5,0,2,1,5,3,0,8,0,1,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,698,0,0,0,2,0,0,0,0,0,5,1,1,0,0,0,0,2,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
